City_ID,City,Country,Max Temp,Description,Lat,Lng,Hotel Name
581,Lalmohan,BD,79.18,heavy intensity rain,22.34,90.74,Sundorbon courier service
582,San Policarpo,PH,82.18,broken clouds,12.18,125.51,Zal-Ann Beach Resort
583,Palauig,PH,82.27,light rain,15.44,119.9,Myhousebythesea
584,Marrakesh,MA,89.6,few clouds,31.63,-8.01,Les Jardins de La Koutoubia
587,Santa Marta,CO,87.01,light rain,11.24,-74.2,Hotel La Ballena Azul
590,Mbanza-Ngungu,CD,72.68,broken clouds,-5.25,14.87,Hotel Full Business
591,Dakar,SN,80.6,scattered clouds,14.69,-17.44,Novotel Dakar
595,Nouakchott,MR,87.8,few clouds,18.09,-15.98,Hôtel Iman
597,Svay Rieng,KH,78.15,scattered clouds,11.09,105.8,Apsara guesthouse
603,Ibadan,NG,71.53,overcast clouds,7.39,3.9,Orchard Hotel
604,Takoradi,GH,74.37,few clouds,4.88,-1.76,Raybow International Hotel
605,Kutum,SD,74.62,scattered clouds,14.2,24.67,Dibbo areaمنطقة دبو
607,Zaoyang,CN,70.57,light rain,32.13,112.75,Shanghai Hotel
608,Coahuayana,MX,80.6,broken clouds,18.73,-103.68,Hotel Los Arcos
609,Azua,DO,83.59,light rain,18.45,-70.73,Cabañas Sexy Home
610,Cienfuegos,CU,87.8,light rain,22.15,-80.44,Casa Claumar B2BPay
614,Besikduzu,TR,71.6,broken clouds,41.05,39.23,YKT
616,Omboue,GA,74.34,overcast clouds,-1.57,9.26,Hotel Olako
618,Cockburn Town,TC,86.0,scattered clouds,21.46,-71.14,Osprey Beach Hotel
619,Alofi,NU,80.6,few clouds,-19.06,-169.92,Taloa Heights
620,Gondanglegi,ID,72.9,overcast clouds,-7.75,112.01,Gg. Munasir Homestay
621,San Julian,MX,72.64,few clouds,21.02,-102.17,La Nueva España
622,Macaubas,BR,76.32,broken clouds,-13.02,-42.7,Pousada Refúgio
627,Canutama,BR,79.16,clear sky,-6.53,-64.38,Hotel Jhennifer
631,Jasper,US,87.8,clear sky,37.2,-94.35,Guest House Motel
633,Barcelona,ES,82.0,few clouds,41.39,2.16,Axel Hotel Barcelona
640,North Bend,US,75.99,overcast clouds,43.41,-124.22,Red Lion Hotel Coos Bay
641,Boffa,GN,75.76,light rain,10.17,-14.03,Hôtel Niara Belly
642,Akyab,MM,79.52,moderate rain,20.15,92.9,Hotel Memory
643,Sao Felix Do Xingu,BR,81.63,scattered clouds,-6.64,-51.99,Apart Hotel Rio Xingu
644,Olhao,PT,78.8,clear sky,37.03,-7.84,Real Marina Hotel & Spa
645,Thunder Bay,CA,73.4,few clouds,48.4,-89.32,Victoria Inn Hotel and Convention Centre
647,Altona,DE,71.01,overcast clouds,53.55,9.93,Clipper Elb-Lodge
648,Mareeba,AU,72.0,few clouds,-17.0,145.43,Trinity Plains Tourist Park
651,Hami,CN,75.29,broken clouds,42.8,93.45,Laoyutang Resort
655,Umm Lajj,SA,84.13,clear sky,25.02,37.27,Moon light Furnished Units
656,Eyl,SO,76.71,overcast clouds,7.98,49.82,Amiin Hotel
658,Mairi,BR,70.2,scattered clouds,-11.71,-40.15,Pousada de Dona Roxa
659,Broome,US,80.01,broken clouds,42.25,-75.83,Chenango Valley State Park
661,San Quintin,MX,81.34,moderate rain,30.48,-115.95,Old Mill Hotel
662,Kloulklubed,PW,75.2,broken clouds,7.04,134.26,Storyboard Beach Resort
665,Tuscaloosa,US,77.0,heavy intensity rain,33.21,-87.57,Hampton Inn Tuscaloosa-University
666,Gwadar,PK,82.13,overcast clouds,25.12,62.33,Sadaf Resort
667,Kulhudhuffushi,MV,82.44,broken clouds,6.62,73.07,Haajy Guest House 1
668,Angoche,MZ,73.65,scattered clouds,-16.23,39.91,Guest House HESADA
675,Kailua,US,87.8,broken clouds,21.4,-157.74,Sheffield House Bed & Breakfast
681,Nkhotakota,MW,72.19,light rain,-12.93,34.3,Sitima Inn
685,Yilan,TW,84.0,moderate rain,24.76,121.75,Dar Chen Hotel
686,Rosetta,EG,78.8,scattered clouds,31.4,30.42,Green Valley
687,Lorengau,PG,85.6,scattered clouds,-2.02,147.27,Lorengau Harbourside Hotel
688,Ryotsu,JP,75.2,broken clouds,38.08,138.43,Sadokamoko Onsen Kohanno Yado Yoshidaya
691,Tamale,GH,74.34,light rain,9.4,-0.84,Tap Hotel
