City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
285,Pachino,36.72,15.09,77.0,77,0,4.79,IT,2020-08-20 22:03:21
286,Bethel,41.37,-73.41,82.0,36,1,3.6,US,2020-08-20 22:03:21
287,Ugoofaaru,5.67,73.0,82.9,71,100,7.96,MV,2020-08-20 22:03:22
288,Bugcaon,8.05,125.11,70.38,85,39,1.66,PH,2020-08-20 22:03:22
289,Sitangkai,4.66,119.39,84.09,69,100,5.06,PH,2020-08-20 22:03:22
290,Namtsy,62.72,129.67,39.2,86,0,6.71,RU,2020-08-20 22:03:22
291,Tarko-Sale,64.92,77.78,55.0,94,100,10.29,RU,2020-08-20 22:03:23
292,Amparafaravola,-17.58,48.22,55.0,93,10,1.61,MG,2020-08-20 22:03:23
293,Port Augusta,-32.5,137.77,48.99,93,75,11.41,AU,2020-08-20 22:03:23
294,Souillac,-20.52,57.52,69.8,73,75,4.7,MU,2020-08-20 22:03:23
295,Solnechnyy,50.72,136.63,61.38,55,49,5.99,RU,2020-08-20 22:03:23
296,Wellsford,-36.28,174.52,61.0,83,11,7.0,NZ,2020-08-20 22:03:24
297,Korla,41.76,86.15,69.53,61,56,18.48,CN,2020-08-20 22:03:22
298,Sampit,-2.53,112.95,72.73,98,34,2.39,ID,2020-08-20 22:03:24
299,Dargaville,-35.93,173.88,59.83,73,1,16.69,NZ,2020-08-20 22:03:24
300,Vardo,70.37,31.11,48.2,87,75,6.93,NO,2020-08-20 22:03:24
301,Sioux Lookout,50.1,-91.92,73.4,60,20,3.36,CA,2020-08-20 22:03:18
302,Kota Kinabalu,5.97,116.07,75.2,83,20,5.82,MY,2020-08-20 22:03:25
